5DC,AF80,5DD,AF80,5DC,FF80,000,FF80,FF80,1000
5DD,0740,5DE,0740,5DD,0740,000,05DD,FF7F,1001
5DE,0680,5DF,0680,5DE,0680,000,05DE,7FFF,0001
5DF,EEFB,5E0,EEFB,5DB,7FFF,000,FFFB,7FFF,0001,5DB,7FFF
5E0,AF08,5E1,AF08,5E0,0008,000,0008,0008,0001
5E1,EEF8,5E2,EEF8,5DA,0008,000,FFF8,0008,0001,5DA,0008
5E2,4EF5,5E3,4EF5,5D8,05EC,000,FFF5,05F4,0000
5E3,EEF5,5E4,EEF5,5D9,05F4,000,FFF5,05F4,0000,5D9,05F4
5E4,ABF4,5E5,ABF4,5F3,0008,000,FFF4,0008,0000,5D9,05F3
5E5,F003,5E6,F003,5E5,F003,000,05E5,0008,0000
5E6,7EF4,5E7,7EF4,5DB,7FFF,000,FFF4,0008,1000
5E7,F901,5E8,F901,5E7,F901,000,05E7,0008,1000
5E8,EEF2,5E9,EEF2,5DB,0008,000,FFF2,0008,1000,5DB,0008
5E9,8EF0,5EA,8EF0,5DA,0007,000,0006,0008,1000,5DA,0007
5EA,CEF9,5E4,CEF9,5EA,05E4,000,FFF9,0008,1000
5E4,ABF4,5E5,ABF4,5F2,FFC8,000,FFF4,FFC8,1000,5D9,05F2
5E5,F003,5E6,F003,5E5,F003,000,05E5,FFC8,1000
5E6,7EF4,5E7,7EF4,5DB,0008,000,FFF4,FFC8,1001
5E7,F901,5E8,F901,5E7,F901,000,05E7,FFC8,1001
5E8,EEF2,5E9,EEF2,5DB,FFC8,000,FFF2,FFC8,1001,5DB,FFC8
5E9,8EF0,5EA,8EF0,5DA,0006,000,0005,FFC8,1001,5DA,0006
5EA,CEF9,5E4,CEF9,5EA,05E4,000,FFF9,FFC8,1001
5E4,ABF4,5E5,ABF4,5F1,FFF9,000,FFF4,FFF9,1001,5D9,05F1
5E5,F003,5E6,F003,5E5,F003,000,05E5,FFF9,1001
5E6,7EF4,5E7,7EF4,5DB,FFC8,000,FFF4,FFF9,0001
5E7,F901,5E9,F901,5E7,F901,000,0001,FFF9,0001
5E9,8EF0,5EA,8EF0,5DA,0005,000,0004,FFF9,0001,5DA,0005
5EA,CEF9,5E4,CEF9,5EA,05E4,000,FFF9,FFF9,0001
5E4,ABF4,5E5,ABF4,5F0,0000,000,FFF4,0000,0101,5D9,05F0
5E5,F003,5E9,F003,5E5,F003,000,0003,0000,0101
5E9,8EF0,5EA,8EF0,5DA,0004,000,0003,0000,0101,5DA,0004
5EA,CEF9,5E4,CEF9,5EA,05E4,000,FFF9,0000,0101
5E4,ABF4,5E5,ABF4,5EF,FFE9,000,FFF4,FFE9,1001,5D9,05EF
5E5,F003,5E6,F003,5E5,F003,000,05E5,FFE9,1001
5E6,7EF4,5E7,7EF4,5DB,FFC8,000,FFF4,FFE9,0001
5E7,F901,5E9,F901,5E7,F901,000,0001,FFE9,0001
5E9,8EF0,5EA,8EF0,5DA,0003,000,0002,FFE9,0001,5DA,0003
5EA,CEF9,5E4,CEF9,5EA,05E4,000,FFF9,FFE9,0001
5E4,ABF4,5E5,ABF4,5EE,0000,000,FFF4,0000,0101,5D9,05EE
5E5,F003,5E9,F003,5E5,F003,000,0003,0000,0101
5E9,8EF0,5EA,8EF0,5DA,0002,000,0001,0000,0101,5DA,0002
5EA,CEF9,5E4,CEF9,5EA,05E4,000,FFF9,0000,0101
5E4,ABF4,5E5,ABF4,5ED,0008,000,FFF4,0008,0001,5D9,05ED
5E5,F003,5E6,F003,5E5,F003,000,05E5,0008,0001
5E6,7EF4,5E7,7EF4,5DB,FFC8,000,FFF4,0008,0000
5E7,F901,5E9,F901,5E7,F901,000,0001,0008,0000
5E9,8EF0,5EA,8EF0,5DA,0001,000,0000,0008,0000,5DA,0001
5EA,CEF9,5E4,CEF9,5EA,05E4,000,FFF9,0008,0000
5E4,ABF4,5E5,ABF4,5EC,FFC8,000,FFF4,FFC8,1000,5D9,05EC
5E5,F003,5E6,F003,5E5,F003,000,05E5,FFC8,1000
5E6,7EF4,5E7,7EF4,5DB,FFC8,000,FFF4,FFC8,0101
5E7,F901,5E9,F901,5E7,F901,000,0001,FFC8,0101
5E9,8EF0,5EB,8EF0,5DA,0000,000,FFFF,FFC8,0101,5DA,0000
5EB,0100,5EC,0100,5EB,0100,000,05EB,FFC8,0101
