297,0200,298,0200,297,0200,000,0297,0000,0100
298,EE17,299,EE17,2B0,0000,000,0017,0000,0100,2B0,0000
299,AE15,29A,AE15,2AF,01C2,000,0015,01C2,0000
29A,0C00,29B,0C00,7FF,01C2,7FF,029A,01C2,0000,7FF,01C2
29B,D689,689,D689,7FE,029C,7FE,D689,01C2,0000,7FE,029C
689,AC01,68A,AC01,7FF,01C2,7FE,0001,01C2,0000
68A,F205,68B,F205,68A,F205,7FE,068A,01C2,0000
68B,7E07,68C,7E07,693,01B4,7FE,0007,01C2,0001
68C,F903,690,F903,68C,F903,7FE,0003,01C2,0001
690,AE02,691,AE02,693,01B4,7FE,0002,01B4,0001
691,EC01,692,EC01,7FF,01B4,7FE,0001,01B4,0001,7FF,01B4
692,0A00,29C,0A00,7FE,029C,7FF,0692,01B4,0001
29C,0800,29D,0800,7FF,01B4,000,029C,01B4,0001
29D,6E12,29E,6E12,2B0,0000,000,0012,01B4,0001
29E,EE11,29F,EE11,2B0,01B4,000,0011,01B4,0001,2B0,01B4
29F,AE0D,2A0,AE0D,2AD,00A8,000,000D,00A8,0001
2A0,0C00,2A1,0C00,7FF,00A8,7FF,02A0,00A8,0001,7FF,00A8
2A1,D689,689,D689,7FE,02A2,7FE,D689,00A8,0001,7FE,02A2
689,AC01,68A,AC01,7FF,00A8,7FE,0001,00A8,0001
68A,F205,68B,F205,68A,F205,7FE,068A,00A8,0001
68B,7E07,68C,7E07,693,01B4,7FE,0007,00A8,1000
68C,F903,68D,F903,68C,F903,7FE,068C,00A8,1000
68D,0500,68E,0500,68D,00A8,7FE,068D,0150,0000
68E,4E05,68F,4E05,694,008D,7FE,0005,01DD,0000
68F,CE01,691,CE01,68F,0691,7FE,0001,01DD,0000
691,EC01,692,EC01,7FF,01DD,7FE,0001,01DD,0000,7FF,01DD
692,0A00,2A2,0A00,7FE,02A2,7FF,0692,01DD,0000
2A2,0800,2A3,0800,7FF,01DD,000,02A2,01DD,0000
2A3,0740,2A4,0740,2A3,0740,000,02A3,01DC,0001
2A4,6E0B,2A5,6E0B,2B0,01B4,000,000B,0028,0001
2A5,EE0A,2A6,EE0A,2B0,0028,000,000A,0028,0001,2B0,0028
2A6,AE07,2A7,AE07,2AE,0049,000,0007,0049,0001
2A7,0C00,2A8,0C00,7FF,0049,7FF,02A7,0049,0001,7FF,0049
2A8,D689,689,D689,7FE,02A9,7FE,D689,0049,0001,7FE,02A9
689,AC01,68A,AC01,7FF,0049,7FE,0001,0049,0001
68A,F205,68B,F205,68A,F205,7FE,068A,0049,0001
68B,7E07,68C,7E07,693,01B4,7FE,0007,0049,1000
68C,F903,68D,F903,68C,F903,7FE,068C,0049,1000
68D,0500,68E,0500,68D,0049,7FE,068D,0092,0000
68E,4E05,68F,4E05,694,008D,7FE,0005,011F,0000
68F,CE01,691,CE01,68F,0691,7FE,0001,011F,0000
691,EC01,692,EC01,7FF,011F,7FE,0001,011F,0000,7FF,011F
692,0A00,2A9,0A00,7FE,02A9,7FF,0692,011F,0000
2A9,0800,2AA,0800,7FF,011F,000,02A9,011F,0000
2AA,6E05,2AB,6E05,2B0,0028,000,0005,00F7,0001
2AB,EE04,2AC,EE04,2B0,00F7,000,0004,00F7,0001,2B0,00F7
2AC,0100,2AD,0100,2AC,0100,000,02AC,00F7,0001
