5C1,0200,5C2,0200,5C1,0200,000,05C1,0000,0100
5C2,AEFB,5C3,AEFB,5BE,05E5,000,FFFB,05E5,0000
5C3,EEFB,5C4,EEFB,5BF,05E5,000,FFFB,05E5,0000,5BF,05E5
5C4,0200,5C5,0200,5C4,0200,000,05C4,0000,0100
5C5,1207,5C6,1207,5C5,1207,000,05C5,0000,0100
5C6,2F40,5C7,2F40,5C6,0040,000,0040,0000,0100
5C7,F0FC,5C4,F0FC,5C7,F0FC,000,FFFC,0000,0100
5C4,0200,5C5,0200,5C4,0200,000,05C4,0000,0100
5C5,1207,5C6,1207,5C5,1207,000,05C5,0040,0100
5C6,2F40,5C7,2F40,5C6,0040,000,0040,0040,0000
5C7,F0FC,5C8,F0FC,5C7,F0FC,000,05C7,0040,0000
5C8,1206,5C9,1206,5C8,1206,000,05C8,00E3,0000
5C9,E8F5,5CA,E8F5,5E5,00E3,000,FFF5,00E3,0000,5E5,00E3
5CA,7EF5,5CB,7EF5,5C0,0000,000,FFF5,00E3,0001
5CB,F00D,5CC,F00D,5CB,F00D,000,05CB,00E3,0001
5CC,0200,5CD,0200,5CC,0200,000,05CC,0000,0101
5CD,1207,5CE,1207,5CD,1207,000,05CD,0000,0101
5CE,2F40,5CF,2F40,5CE,0040,000,0040,0000,0101
5CF,F0FC,5CC,F0FC,5CF,F0FC,000,FFFC,0000,0101
5CC,0200,5CD,0200,5CC,0200,000,05CC,0000,0101
5CD,1207,5CE,1207,5CD,1207,000,05CD,0040,0101
5CE,2F40,5CF,2F40,5CE,0040,000,0040,0040,0001
5CF,F0FC,5D0,F0FC,5CF,F0FC,000,05CF,0040,0001
5D0,1206,5D1,1206,5D0,1206,000,05D0,00E2,0001
5D1,0680,5D2,0680,5D1,0680,000,05D1,E200,1001
5D2,38EC,5D3,38EC,5E5,00E3,000,1D1C,E2E3,1001
5D3,EAEB,5D4,EAEB,5E5,E2E3,000,FFEB,E2E3,1001,5BF,05E6,5E5,E2E3
5D4,0680,5D5,0680,5D4,0680,000,05D4,E3E2,1001
5D5,0600,5D6,0600,5D5,0600,000,05D5,FFE2,1001
5D6,7EE9,5D7,7EE9,5C0,0000,000,FFE9,FFE2,1001
5D7,F001,5D8,F001,5D7,F001,000,05D7,FFE2,1001
5D8,CEEB,5C4,CEEB,5D8,05C4,000,FFEB,FFE2,1001
5C4,0200,5C5,0200,5C4,0200,000,05C4,0000,0101
